Move [0 - 0_GuiClient]: White Horse (0, 1) --> (2, 2)
Move [57 - 1_ProfClient]: Black Bishop (1, 3) --> (3, 5)
Move [58 - 0_GuiClient]: White Tower (0, 7) --> (0, 5)
Move [59 - 1_ProfClient]: Black Bishop (3, 5) --> (4, 4) eaten White Pawn
Move [60 - 0_GuiClient]: White Tower (0, 5) --> (1, 5) eaten Black Pawn
Move [61 - 1_ProfClient]: Black Pawn (6, 6) --> (4, 6)
Move [62 - 0_GuiClient]: White Tower (1, 5) --> (1, 4)
Move [63 - 1_ProfClient]: Black King (6, 4) --> (5, 5)
Move [64 - 0_GuiClient]: White King (1, 2) --> (2, 3)
Move [65 - 1_ProfClient]: Black Pawn (6, 0) --> (4, 0)
Move [66 - 0_GuiClient]: White Pawn (5, 0) --> (6, 0)
Move [67 - 1_ProfClient]: Black Bishop (4, 4) --> (1, 7) eaten White Pawn
Move [68 - 0_GuiClient]: White Tower (1, 4) --> (1, 7) eaten Black Bishop
Move [69 - 1_ProfClient]: Black Pawn (4, 0) --> (3, 0)
Move [70 - 0_GuiClient]: White Pawn (2, 1) --> (3, 0) eaten Black Pawn
Move [71 - 1_ProfClient]: Black King (5, 5) --> (4, 5)
Move [72 - 0_GuiClient]: White Tower (1, 7) --> (1, 5)
Move [73 - 1_ProfClient]: Black King (4, 5) --> (4, 4)
Move [74 - 0_GuiClient]: White Pawn (6, 0) --> (-1, 7)
Move [75 - 1_ProfClient]: Black Pawn (6, 2) --> (4, 2)
Move [76 - 0_GuiClient]: White Queen (7, 0) --> (5, 2)
Move [77 - 1_ProfClient]: Black King (4, 4) --> (3, 3)
Move [78 - 0_GuiClient]: White King (2, 3) --> (1, 3)
Move [79 - 1_ProfClient]: Black Pawn (5, 4) --> (4, 4)
Move [80 - 0_GuiClient]: White Queen (5, 2) --> (5, 3)
Move [81 - 1_ProfClient]: Black King (3, 3) --> (3, 2)
Move [82 - 0_GuiClient]: White Queen (5, 3) --> (4, 4) eaten Black Pawn
Move [83 - 1_ProfClient]: Black King (3, 2) --> (3, 1)
Move [84 - 0_GuiClient]: White Queen (4, 4) --> (4, 6) eaten Black Pawn
Move [85 - 1_ProfClient]: Black Pawn (4, 2) --> (3, 2)
Move [86 - 0_GuiClient]: White Queen (4, 6) --> (4, 1)
Move [87 - 1_ProfClient]: Black King (3, 1) --> (2, 0)
Move [88 - 0_GuiClient]: White King (1, 3) --> (2, 2)
Move [89 - 1_ProfClient]: Black King (2, 0) --> (2, 1)
Move [90 - 0_GuiClient]: White Queen (4, 1) --> (2, 1) eaten Black King
Player 0 - 0_GuiClient: White wins. Game finished. 
